,Battery,Acceleration,Top Speed,Range,Efficiency,Fast Charge
MG MG5 EV,48.8,7.7 sec,185 km/h,295 km,165 Wh/km,340
Renault Zoe ZE40 R110,41,11.4 sec,135 km/h,255 km,161 Wh/km,230
Audi Q4 e-tron 50 quattro,76.6,6.2 sec,180 km/h,385 km,199 Wh/km,470
Ford Mustang Mach-E ER RWD,88,7.0 sec,180 km/h,440 km,200 Wh/km,430
Volvo XC40 Recharge Pure Electric,67,7.4 sec,160 km/h,315 km,213 Wh/km,400
Nissan Ariya 87kWh,87,7.6 sec,160 km/h,445 km,196 Wh/km,530
Jaguar I-Pace EV400,84.7,4.8 sec,200 km/h,380 km,223 Wh/km,360
CUPRA Born 170 kW - 82 kWh,77,7.0 sec,160 km/h,450 km,171 Wh/km,550
Mercedes EQA 350 4MATIC,66.5,6.0 sec,160 km/h,350 km,190 Wh/km,420
Polestar 2 Long Range Single Motor,75,7.4 sec,160 km/h,425 km,176 Wh/km,550
Opel Ampera-e ,58,7.3 sec,150 km/h,335 km,173 Wh/km,210
Volvo C40 Recharge,75,4.7 sec,180 km/h,340 km,221 Wh/km,440
Hyundai IONIQ 5 Standard Range 2WD,58,8.5 sec,185 km/h,310 km,187 Wh/km,720
Tesla Roadster ,200,2.1 sec,410 km/h,970 km,206 Wh/km,920
Lucid Air Pure,85,4.2 sec,200 km/h,540 km,157 Wh/km,1410
Mercedes EQS AMG 53 4MATIC+,107.8,3.4 sec,250 km/h,565 km,191 Wh/km,740
Renault Megane E-Tech EV40 130hp,40,10.0 sec,160 km/h,245 km,163 Wh/km,510
Audi Q4 Sportback e-tron 40,76.6,8.5 sec,160 km/h,425 km,180 Wh/km,520
Volkswagen ID.3 Pro Performance,58,7.3 sec,160 km/h,350 km,166 Wh/km,490
Volkswagen ID.3 Pure Performance,45,8.9 sec,160 km/h,275 km,164 Wh/km,410
BMW i3s 120 Ah,37.9,6.9 sec,160 km/h,230 km,165 Wh/km,260
MG Marvel R ,65,7.9 sec,200 km/h,340 km,191 Wh/km,370
Skoda Enyaq iV RS,77,6.2 sec,180 km/h,395 km,195 Wh/km,480
Ford Mustang Mach-E ER AWD,88,5.8 sec,180 km/h,420 km,210 Wh/km,410
Mercedes EQB 350 4MATIC,66.5,6.2 sec,160 km/h,340 km,196 Wh/km,400
Volkswagen ID.4 Pure,52,10.9 sec,160 km/h,285 km,182 Wh/km,410
Honda e Advance,28.5,8.3 sec,145 km/h,170 km,168 Wh/km,190
Ford Mustang Mach-E SR RWD,68,6.9 sec,180 km/h,345 km,197 Wh/km,380
Renault Kangoo Maxi ZE 33,31,22.4 sec,130 km/h,160 km,194 Wh/km,
Volkswagen ID.3 Pro S - 4 Seats,77,7.9 sec,160 km/h,450 km,171 Wh/km,550
MG MG5 EV Long Range,57,7.7 sec,185 km/h,340 km,168 Wh/km,340
Nissan e-NV200 Evalia ,37,14.0 sec,123 km/h,170 km,218 Wh/km,170
Sono Sion ,47,9.0 sec,140 km/h,260 km,181 Wh/km,310
Mercedes EQV 300 Long,90,12.1 sec,160 km/h,320 km,281 Wh/km,280
Kia e-Soul 64 kWh,64,7.9 sec,167 km/h,370 km,173 Wh/km,350
Fiat 500e Hatchback 24 kWh,23.8,9.5 sec,135 km/h,165 km,144 Wh/km,260
Mini Cooper SE ,28.9,7.3 sec,150 km/h,185 km,156 Wh/km,260
Audi e-tron GT quattro,85,4.1 sec,245 km/h,420 km,202 Wh/km,840
Tesla Model X Long Range,90,3.9 sec,250 km/h,475 km,189 Wh/km,710
SEAT Mii Electric ,32.3,12.3 sec,130 km/h,205 km,158 Wh/km,170
Kia EV6 Standard Range 2WD,58,8.5 sec,185 km/h,320 km,181 Wh/km,740
Audi Q4 Sportback e-tron 50 quattro,76.6,6.2 sec,180 km/h,400 km,192 Wh/km,490
Fiat 500e 3+1,37.3,9.0 sec,150 km/h,245 km,152 Wh/km,410
Polestar 2 Standard Range Single Motor,61,7.4 sec,160 km/h,350 km,174 Wh/km,430
CUPRA Born 150 kW - 62 kWh,58,7.3 sec,160 km/h,350 km,166 Wh/km,440
Audi Q4 e-tron 45 quattro,76.6,6.9 sec,180 km/h,385 km,199 Wh/km,470
Porsche Taycan 4S,71,4.0 sec,250 km/h,375 km,189 Wh/km,750
DS 3 Crossback E-Tense,45,8.7 sec,150 km/h,250 km,180 Wh/km,330
Tesla Cybertruck Single Motor,100,7.0 sec,180 km/h,390 km,256 Wh/km,740
Volkswagen ID.4 Pure Performance,52,9.0 sec,160 km/h,285 km,182 Wh/km,410
Tesla Cybertruck Dual Motor,120,5.0 sec,190 km/h,460 km,261 Wh/km,710
Fiat 500e Cabrio,37.3,9.0 sec,150 km/h,245 km,152 Wh/km,410
Ford Mustang Mach-E GT,88,4.4 sec,200 km/h,410 km,215 Wh/km,400
Mercedes EQA 300 4MATIC,66.5,7.7 sec,160 km/h,350 km,190 Wh/km,420
Porsche Taycan 4 Cross Turismo,83.7,5.1 sec,220 km/h,405 km,207 Wh/km,850
Smart EQ forfour ,16.7,12.7 sec,130 km/h,95 km,176 Wh/km,
Porsche Taycan Plus,83.7,5.4 sec,230 km/h,460 km,182 Wh/km,960
Audi e-tron Sportback 55 quattro,86.5,5.7 sec,200 km/h,375 km,231 Wh/km,600
Audi e-tron S 55 quattro,86.5,4.5 sec,210 km/h,320 km,270 Wh/km,510
Tesla Model X Plaid,90,2.6 sec,262 km/h,455 km,198 Wh/km,680
Smart EQ fortwo coupe,16.7,11.6 sec,130 km/h,100 km,167 Wh/km,
MG ZS EV Long Range,65,8.6 sec,175 km/h,355 km,183 Wh/km,390
Kia e-Niro 39 kWh,39.2,9.8 sec,155 km/h,235 km,167 Wh/km,230
Byton M-Byte 95 kWh 4WD,95,5.5 sec,190 km/h,390 km,244 Wh/km,460
CUPRA Born 170 kW - 62 kWh,58,6.6 sec,160 km/h,345 km,168 Wh/km,430
Ford Mustang Mach-E SR AWD,68,6.3 sec,180 km/h,330 km,206 Wh/km,360
Porsche Taycan 4S Plus,83.7,4.0 sec,250 km/h,435 km,192 Wh/km,910
Lucid Air Touring,85,3.4 sec,250 km/h,530 km,160 Wh/km,1390
Toyota PROACE Verso M 75 kWh,65,13.1 sec,130 km/h,250 km,260 Wh/km,290
Porsche Taycan Turbo,83.7,3.2 sec,260 km/h,400 km,209 Wh/km,840
Audi e-tron Sportback 50 quattro,64.7,6.8 sec,190 km/h,295 km,219 Wh/km,490
